quadrat,diameter1,diameter2,genus
9,8.5,11,pocillopora
9,10.5,8,pocillopora
9,15.5,15,pocillopora
9,9,6,pocillopora
9,4,4,pocillopora
9,13.5,14,pocillopora
9,12,9.5,pocillopora
9,12.5,14,pocillopora
9,11,16,pocillopora
9,5,4.5,pocillopora
9,9,13,pocillopora
9,17,23,pocillopora
9,3,3,pocillopora
9,2,2,pocillopora
12,12.5,11,pocillopora
12,3.5,3,pocillopora
12,20.5,18,pocillopora
12,3.5,3,pocillopora
12,9,6,pocillopora
12,11,6.5,pocillopora
12,16,15,pocillopora
12,6,6.5,pocillopora
12,10.5,8,pocillopora
12,10,6,pocillopora
12,4,3.5,pocillopora
12,8.5,10.5,pocillopora
12,3,3,pocillopora
12,10,8,pocillopora
12,4,4,pocillopora
12,2,2,pocillopora
12,12.5,11,pocillopora
12,18,14.5,pocillopora
12,8.5,8,pocillopora
12,21,22.5,pocillopora
12,13,10,pocillopora
12,10,7,pocillopora
12,14,12,pocillopora
12,9,8,pocillopora
12,16.5,19,pocillopora
12,24,16,pocillopora
12,13.5,11.5,pocillopora
12,8,6,pocillopora
12,5.5,4.5,pocillopora
12,4,4,pocillopora
12,8,5,pocillopora
12,8.5,9,pocillopora
12,16,16.5,pocillopora
13,14,14,pocillopora
13,9.5,6,pocillopora
13,12,7.5,pocillopora
13,11,7,pocillopora
13,6.5,7.5,pocillopora
13,20,23,pocillopora
13,1.5,1.5,pocillopora
13,2,1.5,pocillopora
13,4.5,3,pocillopora
13,12,10,pocillopora
13,7.5,7,pocillopora
13,1.5,2,pocillopora
13,11.5,12.5,pocillopora
13,5,4,pocillopora
13,8.5,8.5,pocillopora
13,21.5,16,pocillopora
13,11,10,pocillopora
13,4,5,pocillopora
13,14.5,11.5,pocillopora
13,15,15.5,pocillopora
13,15.5,11.5,pocillopora
13,12,12,pocillopora
13,19,20,pocillopora
13,2,2,pocillopora
13,8.5,5.5,pocillopora
13,9,10,pocillopora
13,8,5,pocillopora
13,10,8,pocillopora
13,7,5,pocillopora
13,22,16.5,pocillopora
13,9,12,pocillopora
13,13,10,pocillopora
13,18,9,pocillopora
11,7.5,6.5,pocillopora
11,4.5,3.5,pocillopora
11,24,14,pocillopora
11,13,9,pocillopora
11,18,15.5,pocillopora
11,11,7.5,pocillopora
11,15,10,pocillopora
11,18.5,16.5,pocillopora
11,16,15.5,pocillopora
11,15,15.5,pocillopora
11,3.5,2,pocillopora
11,21.5,16,pocillopora
11,10.5,6,pocillopora
11,16,13,pocillopora
11,4.5,3.5,pocillopora
11,13,7,pocillopora
11,6,6,pocillopora
11,17,15.5,pocillopora
11,16,7,pocillopora
11,8,8,pocillopora
11,3.5,3.5,pocillopora
11,3.5,4,pocillopora
11,3.5,4,pocillopora
11,19,21,pocillopora
11,18,10,pocillopora
11,13,7,pocillopora
11,10,5,pocillopora
11,23,18,pocillopora
11,16,11,pocillopora
11,17,13,pocillopora
11,17,10,pocillopora
11,18,14,pocillopora
11,21,15.5,pocillopora
11,14.5,11.5,pocillopora
11,11,9,pocillopora
11,21,12,pocillopora
11,6,5,pocillopora
11,10,9,pocillopora
11,11,8.5,pocillopora
11,3.5,3.5,pocillopora
11,12,10,pocillopora
11,7,6,pocillopora
11,5,5,pocillopora
10,1,1.5,pocillopora
10,10.5,10,pocillopora
10,8.5,5.5,pocillopora
10,5,5,pocillopora
10,6,5.5,pocillopora
10,21,20,pocillopora
10,19,13,pocillopora
10,12,8.5,pocillopora
10,9,8,pocillopora
10,9.5,9.5,pocillopora
10,7,5,pocillopora
10,15.5,11,pocillopora
10,4,3,pocillopora
10,7.5,7,pocillopora
10,21,20.5,pocillopora
10,18,13,pocillopora
10,2,2.5,pocillopora
10,6,7,pocillopora
10,11.5,11,pocillopora
10,3,3,pocillopora
10,4.5,3,pocillopora
10,3.5,4,pocillopora
10,11,6,pocillopora
10,10,8,pocillopora
10,4.5,4.5,pocillopora
10,25,10,pocillopora
10,8.5,11,pocillopora
10,21,15,pocillopora
10,11,8,pocillopora
10,25,16,pocillopora
14,15,11,pocillopora
14,19,12,pocillopora
14,11,8.5,pocillopora
14,7,5,pocillopora
14,16,13,pocillopora
14,9,7.5,pocillopora
14,10.5,8.5,pocillopora
14,1.5,1.5,pocillopora
14,9,9,pocillopora
14,21.5,16.5,pocillopora
14,20.5,15,pocillopora
14,10,8,pocillopora
14,14,9,pocillopora
14,3,4,pocillopora
14,22.5,19,pocillopora
14,12,10.5,pocillopora
14,15,19,pocillopora
14,19,16,pocillopora
14,4,4,pocillopora
14,8.5,7.5,pocillopora
14,6.5,5,pocillopora
14,9,5,pocillopora
14,7,4,pocillopora
14,11,7.5,pocillopora
14,12,15,pocillopora
14,16,12,pocillopora
14,3,2.5,pocillopora
15,8.5,7.5,pocillopora
15,19,23,pocillopora
15,7.5,9,pocillopora
15,7,8.5,pocillopora
15,17,16,pocillopora
15,14,12,pocillopora
15,25.5,20,pocillopora
15,4.5,9,pocillopora
15,10,7,pocillopora
15,13,10,pocillopora
15,7,4.5,pocillopora
15,4.5,2,pocillopora
15,16,11,pocillopora
15,14,14,pocillopora
15,3,3,pocillopora
15,2.5,2,pocillopora
15,17,9.5,pocillopora
15,15.5,14,pocillopora
15,10.5,9.5,pocillopora
15,23.5,22.5,pocillopora
15,19,14,pocillopora
15,7.5,8.5,pocillopora
15,8.5,6,pocillopora
15,4,5,pocillopora
15,17,10,pocillopora
15,13.5,8,pocillopora
15,12,8,pocillopora
15,7,6,pocillopora
15,9.5,8.5,pocillopora
15,12,8.5,pocillopora
15,16,15,pocillopora
15,25,23,pocillopora
15,13.5,13.5,pocillopora
15,10,7.5,pocillopora
15,9,6,pocillopora
15,15.5,15.5,pocillopora
15,11,8.5,pocillopora
15,4.5,4.5,pocillopora
15,5.5,4.5,pocillopora
15,12,14,pocillopora
15,1.5,1,pocillopora
16,5.5,5.5,pocillopora
16,11,8.5,pocillopora
16,7,7.5,pocillopora
16,7.5,8,pocillopora
16,9.5,9,pocillopora
16,6.5,6,pocillopora
16,14.5,13,pocillopora
16,12.5,12.5,pocillopora
16,7,8.5,pocillopora
16,4.5,4,pocillopora
16,16.5,8,pocillopora
16,18,8,pocillopora
16,22,19,pocillopora
16,23,23,pocillopora
16,18.5,16,pocillopora
16,14,8.5,pocillopora
16,7.5,6,pocillopora
16,21.5,22,pocillopora
16,5,3.5,pocillopora
16,6.5,7,pocillopora
16,7,6,pocillopora
16,17,11.5,pocillopora
16,14.5,12,pocillopora
16,18,19,pocillopora
16,15,9,pocillopora
16,13,8,pocillopora
16,9,5,pocillopora
16,11,3,pocillopora
16,18,5,pocillopora
16,6.5,7,pocillopora
16,2,1.5,pocillopora
16,14.5,13,pocillopora
16,4.5,4,pocillopora
16,10.5,10,pocillopora
16,17.5,16,pocillopora
16,12,12,pocillopora
16,2,2,pocillopora
16,11.5,8,pocillopora
16,13,16,pocillopora
